@RELATION "dataset ONOS"

@ATTRIBUTE Src-Port NUMERIC
@ATTRIBUTE Dst-Port NUMERIC
@ATTRIBUTE Total-Len-Fwd-Pkts NUMERIC
@ATTRIBUTE Total-Len-Bwd-Pkts NUMERIC
@ATTRIBUTE Fwd-Pkt-Len-Min NUMERIC
@ATTRIBUTE Pkt-Len-Mean NUMERIC
@ATTRIBUTE Flow-IAT-Min NUMERIC
@ATTRIBUTE Fwd-IAT-Min NUMERIC
@ATTRIBUTE Bwd-IAT-Mean NUMERIC
@ATTRIBUTE Fwd-PSH-Flags NUMERIC
@ATTRIBUTE PSH-Flag-Cnt NUMERIC
@ATTRIBUTE ACK-Flag-Cnt NUMERIC
@ATTRIBUTE Label {0, 1}

@DATA
36158,22,4908,5358,52,218,2,3,403,13,25,46,0
36158,22,4908,5358,52,218,2,3,403,13,25,46,0
53292,25,282,384,40,66,3,4,2504,1,3,8,0
53292,25,282,384,40,66,3,4,2504,1,3,8,0
53292,25,40,0,40,40,0,0,0,0,0,0,0
36164,22,4892,4318,52,195,1,4,450,13,25,46,0
36164,22,4892,4318,52,195,1,4,450,13,25,46,0
36168,22,4892,4318,52,195,1,4,450,13,25,46,0
36174,22,4908,5358,52,218,1,4,361,13,25,46,0
40862,139,100,60,40,53,25,31,0,0,0,1,0
54262,445,216,164,52,54,4,4,19,0,0,6,0
20,54999,665,164,52,103,6,9,17,1,1,7,0
55226,21,812,856,52,64,7,4,18,6,14,25,0
36184,22,4892,4318,52,195,2,4,450,13,25,46,0
36184,22,4892,4318,52,195,2,4,450,13,25,46,0
40870,139,100,60,40,53,21,27,0,0,0,1,0
54270,445,216,164,52,54,5,5,22,0,0,6,0
36070,80,446,1340,52,178,4,4,21,1,2,9,0
40878,139,100,60,40,53,13,27,0,0,0,1,0
54278,445,216,164,52,54,6,6,14,0,0,6,0
36200,22,4908,5358,52,218,1,4,450,13,25,46,0
36200,22,4908,5358,52,218,1,4,450,13,25,46,0
